Date,BTC-USD,AAPL,^VIX
2022-04-19,41502.75,167.154404,21.370001
2022-04-20,41374.378906,166.98465,20.32
2022-04-21,40527.363281,166.175842,22.68
2022-04-22,39740.320313,161.552628,28.209999
2022-04-23,39486.730469,,
2022-04-24,39469.292969,,
2022-04-25,40458.308594,162.641037,27.02
2022-04-26,38117.460938,156.569962,33.52
2022-04-27,39241.121094,156.340302,31.6
2022-04-28,39773.828125,163.399918,29.99
2022-04-29,38609.824219,157.418701,33.400002
2022-04-30,37714.875,,
2022-05-01,38469.09375,,
2022-05-02,38529.328125,157.728256,32.34
2022-05-03,37750.453125,159.246017,29.25
2022-05-04,39698.371094,165.776428,25.42
2022-05-05,36575.140625,156.540009,31.200001
2022-05-06,36040.921875,157.279999,30.190001
2022-05-07,35501.953125,,
2022-05-08,34059.265625,,
2022-05-09,30296.953125,152.059998,34.75
2022-05-10,31022.90625,154.509995,32.990002
2022-05-11,28936.355469,146.5,32.560001
2022-05-12,29047.751953,142.559998,31.77
2022-05-13,29283.103516,147.110001,28.870001
2022-05-14,30101.265625,,
2022-05-15,31305.113281,,
2022-05-16,29862.917969,145.539993,27.469999
2022-05-17,30425.857422,149.240005,26.1
2022-05-18,28720.271484,140.820007,30.959999
2022-05-19,30314.333984,137.350006,29.35
